Zip Code,Prediction,Type_y
11106,7.42929348030146,Italian
11106,10.351522570358151,Italian
11106,10.260469572784089,Italian
11106,7.409096413579003,Italian
11106,15.965349458116194,Italian
11106,9.679761135282082,Italian
11106,17.667565885395337,Italian
11106,24.390242071258168,Italian
10314,25.535382307501738,Italian
10314,23.30240460154402,Italian
10314,25.138256894710857,Italian
10314,23.119865597182333,Italian
10314,16.603368834262564,Italian
10314,28.656658154744473,Italian
10314,19.377373608706545,Italian
10314,14.818283700475886,Italian
10314,8.365191827228582,Italian
10314,28.789078053342084,Italian
11209,60.77615936024035,Italian
11209,37.464219426862144,Italian
11209,27.887205211948675,Italian
11209,86.14670064477426,Italian
11209,40.066184345854424,Italian
11209,36.81074096814112,Italian
11209,60.64926403298589,Italian
11209,36.68784095674249,Italian
11209,77.14865591315812,Italian
11209,32.790716808056125,Italian
11209,58.10459251568916,Italian
11355,8.289099542100631,Italian
11215,83.71828819024338,Italian
11215,71.82267857208446,Italian
11215,49.79738702565177,Italian
11215,83.73280610653997,Italian
11215,60.57608322814057,Italian
11215,88.27891052276915,Italian
11215,55.31714364109379,Italian
11215,37.40539648586363,Italian
11215,47.85108529641149,Italian
11215,32.623613670369025,Italian
11215,39.9051358097219,Italian
11215,36.46292965403895,Italian
11215,55.96742408838549,Italian
11215,43.74021991996322,Italian
11215,43.7862416078913,Italian
11215,33.855557315692714,Italian
10310,16.18204078624925,Italian
10310,11.643510795724342,Italian
10310,12.767437327994474,Italian
10310,12.287666397061978,Italian
11211,61.81895312661288,Italian
11211,70.55630111227367,Italian
11211,48.53062703682842,Italian
11211,50.11714845914916,Italian
11211,88.81012338228045,Italian
11211,55.35209842418531,Italian
11211,38.07331058010768,Italian
11211,62.87180330902949,Italian
11211,84.04730864901002,Italian
11211,39.755561252816335,Italian
11211,69.28037350093656,Italian
11211,36.434830511445675,Italian
11211,84.500275223161,Italian
11211,57.266841493716136,Italian
11217,34.71216543317179,Italian
11217,82.68939518108667,Italian
11217,43.32578819518774,Italian
11217,79.6208636634414,Italian
11217,72.10635612826493,Italian
11217,37.68073085250997,Italian
11217,39.89595092490437,Italian
11217,33.8716239509149,Italian
11217,26.594216568901494,Italian
11217,37.946762783511545,Italian
11217,49.716410266850815,Italian
10463,21.848385919045995,Italian
10463,14.995322983741517,Italian
10463,37.83088003239898,Italian
11218,49.157632816139234,Italian
11218,37.41878539101522,Italian
11218,26.643173233733,Italian
11218,69.56289640508733,Italian
11377,7.337958328195583,Italian
11377,10.653898413747262,Italian
11420,20.319608882255427,Italian
11205,69.03911150881102,Italian
11205,55.31282797754142,Italian
11205,58.91649769065712,Italian
11205,49.446541472321044,Italian
11103,10.01234231124518,Italian
11103,10.547641948110437,Italian
11103,7.497403623493855,Italian
11103,12.194411063230215,Italian
11372,14.571539068827038,Italian
11372,25.577472726335515,Italian
11357,21.526214815741536,Italian
11357,14.03103378187309,Italian
11357,16.201063839858673,Italian
11357,20.012357249524555,Italian
11357,7.57721777826327,Italian
11357,19.99436238185459,Italian
11357,22.621193002035472,Italian
11357,7.640649391265884,Italian
11357,19.224589072796835,Italian
11357,10.064470205978589,Italian
11357,9.77631682741701,Italian
11234,68.88323122475009,Italian
11234,31.75103469260971,Italian
11234,55.39970973145668,Italian
11234,34.26739009170662,Italian
11234,66.76069533538542,Italian
11234,36.370283015058405,Italian
11234,63.25522881749367,Italian
11101,7.681834990637305,Italian
11101,13.131233151515008,Italian
11101,15.954528166253425,Italian
11101,24.123117718816594,Italian
11101,13.13607681969873,Italian
11101,13.810523739917501,Italian
11101,23.04076446729701,Italian
11101,13.133654778113463,Italian
11101,12.648135929327534,Italian
11354,13.435233481228636,Italian
11418,9.245173672736557,Italian
11385,15.617723986750102,Italian
11385,14.610226600572151,Italian
11385,25.739551168509415,Italian
11385,7.915359914150638,Italian
11233,34.042430938974725,Italian
11231,64.62348133904538,Italian
11231,68.8828220538472,Italian
11231,60.8670911034861,Italian
11231,27.113610311798165,Italian
11231,62.380045029895996,Italian
11231,84.88048933254456,Italian
11231,45.87093150994348,Italian
11231,35.8107882209114,Italian
11231,64.00792615576428,Italian
11231,36.84045160523402,Italian
11231,62.532271967890786,Italian
11235,65.40828423014621,Italian
11235,55.47073543269372,Italian
11235,45.841857823425286,Italian
11375,26.2089261157151,Italian
11375,8.579898038077797,Italian
11375,14.518356889682874,Italian
11375,20.623088755397568,Italian
11375,24.185418692232705,Italian
11375,20.023900139835312,Italian
11375,10.525431945297361,Italian
11375,16.21346235460503,Italian
11375,11.177136687555652,Italian
11201,77.29934494141841,Italian
11201,77.28592931896743,Italian
11201,40.02568802415479,Italian
11201,39.28725094533307,Italian
11201,32.786329421977044,Italian
11201,84.96379624786479,Italian
11201,46.65370145519327,Italian
11201,81.85445314358918,Italian
11201,69.47999652294804,Italian
11201,27.300458337951568,Italian
11201,85.98620489090177,Italian
11201,62.681135833987824,Italian
11201,38.39299133167485,Italian
11201,35.31371809492921,Italian
11201,52.78179474583858,Italian
11201,36.15717117041706,Italian
11201,38.89567750377407,Italian
11220,77.57554214126968,Italian
11220,48.142614277162245,Italian
11694,8.233336851951687,Italian
11249,64.67078269834877,Italian
11249,50.17060202162471,Italian
11249,69.08914894511881,Italian
11249,60.91168485934343,Italian
11249,85.35572260142301,Italian
11249,86.68277116743225,Italian
11249,38.04720418157166,Italian
11249,89.55339332789282,Italian
11249,68.9811428243137,Italian
11249,38.10076750810154,Italian
11249,39.12567050064521,Italian
11249,83.84497679506066,Italian
11249,59.27864981392957,Italian
